# O = Object, N = Non-Collision Object

# ------------------------------- FOREST ------------------------------- #
# T = Tree, R = Rock 1, B = Bush

O T 0 2000 , 400 100
O T 200 2100 , 300 1500
O T 200 3600 , 400 400
O T 200 4000 , 600 200
O T 300 4200 , 300 100
O T 500 2100 , 300 1000
O T 800 2100 , 100 600
O T 900 2100 , 100 400
O T 1000 2200 , 600 100
O T 1000 2300 , 1500 100
O T 1700 2500 , 1100 400
O T 2600 2400 , 200 100
O T 2500 2900 , 200 100
O T 1100 2600 , 600 1100
O T 1700 2900 , 400 800
O T 2100 3200 , 100 200
O T 1100 3700 , 500 1100
O T 1600 4000 , 700 800
O T 1900 3700 , 200 100
O T 1900 3900 , 300 100
O T 2200 3500 , 100 500
O T 2300 3200 , 100 400
O T 2400 3200 , 100 100
O R 2300 3600 , 100 1200
O R 2400 3300 , 100 1500
O R 2500 3100 , 100 1600
O R 2600 3100 , 100 1300
O R 2700 3100 , 100 800
O R 2800 3200 , 100 600
O T 2800 3100 , 100 100
O T 2900 2800 , 200 500
O T 1000 2800 , 100 2000
O T 900 2800 , 100 300
O T 700 3600 , 300 300
O T 900 3900 , 100 800
O T 700 4300 , 200 300
O T 400 4400 , 300 200
O T 300 4500 , 100 100
O T 800 4600 , 100 100
O B 2100 2900 , 50 50
O B 2100 3037 , 50 50
O B 2850 3050 , 50 50
O B 1650 2550 , 50 50
O B 1285 2515 , 50 50
O B 900 2572 , 50 50
O T 700 3300 , 100 100
O B 1600 3950 , 50 50
O B 1050 2750 , 50 50
O B 600 3100 , 100 50
O B 2150 3850 , 50 50
O B 922 3550 , 50 50
O B 850 3900 , 50 50
O B 2450 3150 , 50 50
O B 500 3400 , 50 50


# ------------------------------- GRASSLAND ------------------------------- #
# T = Tree, B = Bush, H = House Roof, W House Wall, D = House Door

O T 3000 2050 , 300 100
O T 3400 2000 , 100 100
O T 3200 2500 , 100 200
O T 3300 2600 , 100 200
O T 4100 2100 , 100 100
O B 3300 2550 , 50 50
O B 4200 2150 , 50 50
O W 4010 2510 , 110 90
O W 4180 2510 , 110 90
O D 4095 2510 , 110 40
O H 4000 2450 , 300 70
 

# ------------------------------- BEACH ------------------------------- #
# I = Invisible Wall, S = Rock 2

O I 2800 3800 , 800 100
O I 3600 3700 , 1100 100
O I 4700 3600 , 400 100
O I 5100 3300 , 200 300
O I 5300 3100 , 100 200
O I 5400 1800 , 100 1300
O I 100 4200 , 100 300 
O I 200 4500  , 100 100
O S 5700 1900 , 100 100
O S 6000 1800 , 100 100
O S 2900 4000 , 100 100
O S 3000 3500 , 100 100
O S 3700 800 , 100 100


# ------------------------------- MOUNTAINS ------------------------------- #
# R = Rock 1, I = Invisible Wall, S = Rock 2, E = Dungeon Entrance

O R 4600 1500 , 100 400
O R 0 1600 , 4600 300
O R 400 1900 , 2400 200
O R 1600 2100 , 800 200
O R 1000 2100 , 600 100
O R 0 1900 , 400 100
O R 4800 1100 , 600 800
O R 5400 1200 , 300 600
O R 5700 1200 , 200 500
O R 5900 1400 , 100 300
O R 4800 1900 , 400 100 
O R 4300 1100 , 500 300
O R 3200 1200 , 1100 200
O R 3200 1400 , 1300 100
O R 3400 700 , 100 500
O R 3500 900 , 100 300
O R 3600 1000 , 100 200
O R 1900 900 , 1400 200
O R 3000 700 , 200 200
O R 1800 1000 , 100 400
O R 1900 1100 , 300 100
O R 2300 1100 , 800 100
O E 2100 1100 , 300 50
O R 1900 1200 , 300 200
O R 0 1400 , 2500 200
O R 1500 1200 , 300 200
O R 1400 1100 , 100 300
O R 1300 1000 , 100 400
O R 600 700 , 700 700
O R 0 600 , 600 800
O S 2700 1300 , 100 100
O I 3200 750 , 200 50
